Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Genre_Drama,Genre_Crime,Genre_Action,Genre_Adventure,Genre_Biography,Genre_History,Genre_Sci-Fi,Genre_Romance,Genre_Western,Genre_Fantasy,Genre_Comedy,Genre_Thriller,Genre_Animation,Genre_Family,Genre_War,Genre_Mystery,Genre_Music,Genre_Horror,Genre_Musical,Genre_Film-Noir,Genre_Sport,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Actor_Popularity,Director_Popularity
The Lord of the Rings: The Fellowship of the Ring,2001.0,1.997418003918816,0.7058823529411766,0.8888888888888888,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,2.157380835508024,1.2617987544121645,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15,5
Forrest Gump,1994.0,0.6944708389358963,0.7058823529411766,0.75,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,2.2334396153566467,1.281800915999186,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20,5
"Il buono, il brutto, il cattivo",1966.0,1.3821373982324372,0.7058823529411766,0.8611111111111112,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffr,1.3706869739446175,-0.4707654466468482,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,6
The Lord of the Rings: The Two Towers,2002.0,2.033610980723897,0.6470588235294112,0.8194444444444444,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,2.0574527903766175,1.2978554363285242,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,19,5
The Matrix,1999.0,0.4773129781054097,0.6470588235294112,0.625,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,2.1653760598167406,0.9940405452770424,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,1
Goodfellas,1990.0,0.8392427461562207,0.6470588235294112,0.8611111111111112,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1.7223918842789738,0.4242166787064488,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,10
Star Wars: Episode V - The Empire Strikes Back,1980.0,0.04299725644443644,0.6470588235294112,0.75,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1.8360637258287351,1.2254515599437503,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17,1
One Flew Over the Cuckoo's Nest,1975.0,0.3687340476901664,0.6470588235294112,0.7638888888888888,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,1.6277707156749808,0.8070122616821498,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,2
Hamilton,2020.0,1.3459444214273562,0.5882352941176467,0.8611111111111112,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Rene Elise Goldsberry,-0.8808407733367168,0.5881459478426638,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,1
Gisaengchung,2019.0,0.3325410708850853,0.5882352941176467,0.9444444444444444,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,1.174797618503708,0.4815359500526288,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3
Soorarai Pottru,2020.0,1.0925935837917884,0.5882352941176467,0.7083333333333333,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,-0.8856334533260524,0.5881459478426638,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9,1
Interstellar,2014.0,1.671681212673086,0.5882352941176467,0.6388888888888888,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,2.0734194524398792,1.0344708148017612,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13,8
Cidade de Deus,2002.0,0.2601551172749231,0.5882352941176467,0.7083333333333333,Fernando Meirelles,Ktia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,1.384670154091259,-0.3763521060005993,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1
Sen to Chihiro no kamikakushi,2001.0,0.07919023324951754,0.5882352941176467,0.9444444444444444,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,1.3213407799307706,-0.2512903994887342,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,11
Saving Private Ryan,1998.0,1.671681212673086,0.5882352941176467,0.875,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1.893109786142232,1.0964807342857958,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,28,13
The Green Mile,1999.0,2.395540748774708,0.5882352941176467,0.45833333333333337,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1.82714645952229,0.8948393844829945,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18,2
La vita  bella,1997.0,-0.2465465579962124,0.5882352941176467,0.4305555555555556,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,1.2824739800873337,0.5150296361738785,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,1
Se7en,1995.0,0.15157618685967975,0.5882352941176467,0.5138888888888888,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,2.0327989432984577,0.7578046676104576,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,8
The Silence of the Lambs,1991.0,-0.1741606043860502,0.5882352941176467,0.7916666666666667,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1.917618592050967,0.8749509232295243,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,2
Star Wars,1977.0,-0.06558167397080687,0.5882352941176467,0.8611111111111112,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1.8899752247302284,1.2716983882591841,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20,1
Seppuku,1962.0,0.3687340476901664,0.5882352941176467,0.7916666666666667,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsur Tanba,-1.1262350187720918,0.5881459478426638,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9,1
Shichinin no samurai,1954.0,3.047014331266168,0.5882352941176467,0.9722222222222221,Akira Kurosawa,Toshir Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,0.6747823549719322,-1.8411405900519384,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13,10
It's a Wonderful Life,1946.0,0.2601551172749231,0.5882352941176467,0.8472222222222221,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,0.8988249607590268,0.5881459478426638,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,16,4
Joker,2019.0,-0.029388697165725768,0.5294117647058822,0.4305555555555556,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,1.6481191595135234,1.2886592644600092,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,2
Whiplash,2014.0,-0.6084763260470234,0.5294117647058822,0.8333333333333333,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,1.4077720672753407,-0.13544432421935473,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,2
The Intouchables,2011.0,-0.3913184652165368,0.5294117647058822,0.4027777777777778,Olivier Nakache,ric Toledano,Franois Cluzet,Omar Sy,Anne Le Ny,1.4594683261591332,-0.1324269568521708,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,1
The Prestige,2006.0,0.2601551172749231,0.5294117647058822,0.5277777777777778,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1.8595827067294664,0.47924320328334874,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,33,8
